group,count
African American/Black,3931
Social Movement Actors,6962
Undifferentiated White,1198
Political Groups,473
Men,226
Youth,419
Religious Groups,745
Students,2734
Cuban,136
Occupational Group/Worker Category,1975
Women,885
Eueropean Ethnic,90
Residents,1581
Other Immigrant/Ethnicity,26
Caribbean,38
Jewish,277
Undifferentiated Ethnic/Racial,233
Puerto Rican,125
Trade Union,245
Asian,67
Native American,245
Institutionalized Persons,409
Arab/ME,67
Veterans,104
Mixed Race,17
NA,35
Senior Citizens,53
Disabled Persons,77
Poor People,41
Mexican/Chicano,125
Pacific Islanders,10
Homeless Persons,60
Asian Indian,7
