year,yearly,weekly
1960,834,16.03846154
1961,606,11.65384615
1962,468,9
1963,909,17.48076923
1964,755,14.51923077
1965,1033,19.86538462
1966,936,18
1967,838,16.11538462
1968,772,14.84615385
1969,998,19.19230769
1970,813,15.63461538
1971,812,15.61538462
1972,707,13.59615385
1973,680,13.07692308
1974,415,7.980769231
1975,501,9.634615385
1976,478,9.192307692
1978,634,12.19230769
1979,944,18.15384615
1977,738,14.19230769
1980,773,14.86538462
1981,687,13.21153846
1985,673,12.94230769
1983,551,10.59615385
1982,498,9.576923077
1989,510,9.807692308
1984,542,10.42307692
1986,526,10.11538462
1987,493,9.480769231
1988,465,8.942307692
1990,572,11
1995,501,9.634615385
1991,578,11.11538462
1994,404,7.769230769
1992,488,9.384615385
1993,483,9.288461538
NA,1,0.019230769
,23615,12.61485043
